ReferenceDate,Default Rate
2010-12-31,1.98847878
2011-03-31,2.329181065
2011-06-30,1.477907205
2011-09-30,1.500586426
2011-12-31,1.529883096
2012-03-31,1.55975799
2012-06-30,2.262621086
2012-09-30,2.022015758
2012-12-31,1.987836309
2013-03-31,1.727956855
2013-06-30,1.616552412
2013-09-30,1.555389188
2013-12-31,1.414302592
2014-03-31,1.128274575
2014-06-30,1.237494618
2014-09-30,1.381665074
2014-12-31,1.488250986
2015-03-31,1.386226617
2015-06-30,1.308423398
2015-09-30,1.202479957
2015-12-31,1.238715312
2016-03-31,0.977229682
2016-06-30,0.970547985
2016-09-30,1.088055901
2016-12-31,0.97131895
2017-03-31,1.073343319
2017-06-30,0.97241115
2017-09-30,0.925446532
2017-12-31,1.110606627
2018-03-31,1.040320318
2018-06-30,1.069295753
2018-09-30,1.138168626
2018-12-31,0.936754019
2019-03-31,0.905208701
2019-06-30,0.919407306
2019-09-30,0.850727174
2019-12-31,0.917158658
2020-03-31,0.917158658
