Date,Asset A,Asset B,Asset C
2021-05-11,41.8125 ,76.2500 ,45.0000 
2021-05-12,42.9375 ,77.1250 ,45.3125 
2021-05-13,43.0000 ,77.7500 ,45.8125 
2021-05-14,43.7500 ,77.1250 ,47.4375 
2021-05-17,43.0000 ,78.0000 ,47.4375 
2021-05-18,44.1250 ,79.3750 ,46.9375 
2021-05-19,43.8750 ,79.0625 ,46.8125 
2021-05-20,44.5625 ,80.1250 ,46.1875 
2021-05-21,44.4375 ,79.0000 ,47.3125 
2021-05-24,44.0000 ,80.6250 ,47.1250 
2021-05-25,45.1250 ,81.5625 ,46.0000 
2021-05-26,45.8750 ,82.1250 ,46.1250 
2021-05-27,46.0625 ,80.8125 ,48.3750 
2021-05-28,47.0000 ,78.8750 ,47.5000 
2021-05-31,48.1250 ,78.6875 ,47.4375 
2021-06-01,49.6250 ,78.7500 ,48.2500 
2021-06-02,48.0000 ,78.8750 ,47.0625 
2021-06-03,48.2500 ,80.5000 ,46.7500 
2021-06-04,48.8125 ,81.3750 ,46.3750 
2021-06-07,49.0000 ,80.5000 ,47.3750 
2021-06-08,48.8750 ,80.0000 ,47.6875 
2021-06-09,49.8750 ,82.6875 ,47.1875 
2021-06-10,49.0000 ,83.1875 ,49.0625 
2021-06-11,49.0000 ,83.5625 ,52.4375 
2021-06-14,48.7500 ,82.0000 ,52.3750 
2021-06-15,48.5625 ,84.1875 ,51.9375 
2021-06-16,47.5625 ,84.3750 ,53.0625 
2021-06-17,48.5625 ,84.1250 ,53.4375 
2021-06-18,49.6250 ,86.0000 ,54.0000 
2021-06-21,49.5000 ,87.5000 ,54.9375 
2021-06-22,47.3750 ,84.5000 ,54.3125 
2021-06-23,46.4375 ,83.0625 ,53.3125 
2021-06-24,45.8750 ,82.1250 ,53.5625 
2021-06-25,45.6250 ,81.8750 ,53.7500 
2021-06-28,47.7500 ,82.6875 ,53.8750 
2021-06-29,49.3125 ,81.8125 ,54.4375 
2021-06-30,50.5625 ,83.1250 ,54.0625 
2021-07-01,53.6250 ,82.1250 ,52.5000 
2021-07-02,54.2500 ,79.9375 ,51.7500 
2021-07-05,53.4375 ,80.1875 ,51.8125 
2021-07-06,52.3125 ,81.2500 ,50.8750 
2021-07-07,52.5000 ,78.1875 ,50.8750 
2021-07-08,53.6250 ,78.8125 ,53.5625 
2021-07-09,54.7500 ,77.5000 ,52.5000 
2021-07-12,55.4375 ,76.6250 ,53.1875 
2021-07-13,57.8750 ,76.2500 ,53.6250 
2021-07-14,59.4375 ,78.5625 ,54.4375 
2021-07-15,58.1250 ,80.3750 ,55.9375 
2021-07-16,58.8750 ,81.8750 ,56.5625 
2021-07-19,59.2500 ,81.7500 ,57.0000 
2021-07-20,59.3750 ,83.8125 ,56.8125 
2021-07-21,58.3750 ,83.5625 ,56.2500 
2021-07-22,56.8750 ,81.7500 ,54.6875 
2021-07-23,56.9375 ,82.9375 ,53.6875 
2021-07-26,56.7500 ,42.3750 ,54.8750 
2021-07-27,59.6250 ,42.6250 ,53.8125 
2021-07-28,60.1250 ,43.0000 ,53.0000 
2021-07-29,64.0000 ,44.3125 ,55.0000 
2021-07-30,63.8750 ,44.2500 ,55.0000 
2021-08-02,66.1250 ,43.7500 ,53.8125 
2021-08-03,64.5625 ,43.2500 ,52.6875 
2021-08-04,64.6250 ,43.2500 ,54.0000 
2021-08-05,63.0000 ,42.3125 ,52.3750 
2021-08-06,58.4375 ,41.7500 ,53.0625 
2021-08-09,59.8750 ,43.6250 ,54.1875 
2021-08-10,61.1250 ,42.3750 ,52.7500 
2021-08-11,61.0625 ,43.5000 ,53.8750 
2021-08-12,61.0000 ,43.0000 ,51.6250 
2021-08-13,59.4375 ,42.4375 ,50.5625 
2021-08-16,59.5625 ,43.8750 ,48.6875 
2021-08-17,60.1875 ,42.2500 ,47.0625 
2021-08-18,56.1250 ,42.7500 ,44.5625 
2021-08-19,58.7500 ,42.3750 ,46.5625 
2021-08-20,60.1875 ,43.2500 ,45.1875 
2021-08-23,60.5000 ,43.3750 ,42.7500 
2021-08-24,60.7500 ,44.6875 ,42.1875 
2021-08-25,58.4375 ,44.0000 ,44.0625 
2021-08-26,60.0000 ,41.8750 ,43.7500 
2021-08-27,61.2500 ,41.8750 ,43.7500 
2021-08-30,61.0000 ,43.1875 ,44.5000 
2021-08-31,62.5625 ,39.6250 ,44.0625 
2021-09-01,63.0625 ,42.0000 ,43.3750 
2021-09-02,63.7500 ,43.7500 ,44.9375 
2021-09-03,64.6875 ,46.3750 ,47.0000 
2021-09-06,67.8125 ,45.7500 ,48.0625 
2021-09-07,65.7500 ,44.0000 ,48.3750 
2021-09-08,66.1250 ,43.9375 ,49.2500 
2021-09-09,66.0625 ,44.3125 ,48.6875 
2021-09-10,66.0625 ,45.2500 ,51.0625 
2021-09-13,65.1875 ,44.3125 ,50.6875 
2021-09-14,65.0000 ,45.0625 ,48.7500 
2021-09-15,65.6875 ,46.2500 ,49.7500 
2021-09-16,63.5000 ,46.8750 ,48.3750 
2021-09-17,62.8125 ,46.5625 ,47.4375 
2021-09-20,64.3750 ,47.4375 ,45.8750 
2021-09-21,63.5625 ,46.4375 ,42.0000 
2021-09-22,65.8125 ,47.5625 ,41.8750 
2021-09-23,65.3750 ,47.6250 ,40.3125 
2021-09-24,65.5625 ,48.0625 ,39.3125 
2021-09-27,68.6250 ,49.8125 ,39.6250 
2021-09-28,65.1250 ,48.8750 ,38.5625 
2021-09-29,65.6875 ,48.9375 ,39.3125 
2021-09-30,67.3750 ,48.0625 ,39.6875 
2021-10-01,67.5000 ,48.0000 ,40.5000 
2021-10-04,69.9375 ,47.3750 ,40.6875 
