Kvartal,Stope realnog rasta,
2010/III kvartal,1.4,
2010/IV kvartal,0.8,
2011/I kvartal,3.1,
2011/II kvartal,2.5,
2011/III kvartal,1.1,
2011/IV kvartal,1.6,
2012/I kvartal,-1.1,
2012/II kvartal,0.7,
2012/III kvartal,-0.8,
2012/IV kvartal,-1.5,
2013/I kvartal,2.6,
2013/II kvartal,1.1,
2013/III kvartal,4.2,
2013/IV kvartal,3.6,
2014/I kvartal,0.4,
2014/II kvartal,-0.8,
2014/III kvartal,-4,
2014/IV kvartal,-1.7,
2015/I kvartal,0.4,
2015/II kvartal,1.9,
2015/III kvartal,2.7,
2015/IV kvartal,2.1,
2016/I kvartal,3.5,
2016/II kvartal,3.1,
2016/III kvartal,4,
2016/IV kvartal,2.9,
2017/I kvartal,1.7,
2017/II kvartal,1.9,
2017/III kvartal,2.3,
2017/IV kvartal,2.5,
2018/I kvartal,5.1,
2018/II kvartal,5.1,
2018/III kvartal,4.3,
2018/IV kvartal,3.6,
2019/I kvartal,2.7,
2019/II kvartal,3,
2019/III kvartal,5,
2019/IV kvartal,6.4,
