mesec,Kamatna stopa ,
Јул,8.00,
Авг.,8.50,
Септ.,9.00,
Окт.,9.50,
Нов.,10.50,
Дец.,11.50,
Јан.,12.00,
Феб.,12.00,
Март,12.25,
Апр.,12.50,
Мај,12.50,
Јун,12.00,
Јул,11.75,
Авг.,11.75,
Септ.,11.25,
Окт.,10.75,
Нов.,10.00,
Дец.,9.75,
Јан.,9.50,
Феб.,9.50,
Март,9.50,
Апр.,9.50,
Мај,9.50,
Јун,10.00,
Јул,10.25,
Авг.,10.50,
Септ.,10.50,
Окт.,10.75,
Нов.,10.95,
Дец.,11.25,
Јан.,11.50,
Феб.,11.75,
Март,11.75,
Апр.,11.75,
Мај,11.25,
Јун,11.00,
Јул,11.00,
Авг.,11.00,
Септ.,11.00,
Окт.,10.50,
Нов.,10.00,
Дец.,9.50,
Јан.,9.50,
Феб.,9.50,
Март,9.50,
Апр.,9.50,
Мај,9.00,
Јун,8.50,
Јул,8.50,
Авг,8.50,
Сеп,8.50,
Окт.,8.50,
Нов.,8.00,
Дец.,8.00,
Јан.,8.00,
Феб.,8.00,
Март,7.50,
Апр.,7.00,
Мај,6.50,
Јун,6.00,
Јул,6.00,
Авг,5.50,
Сеп,5.00,
Окт,4.50,
Нов.,4.50,
Дец.,4.50,
Јан.,4.50,
Феб.,4.25,
Март,4.25,
Апр.,4.25,
Мај,4.25,
Јун,4.25,
Јул,4.00,
Авг,4.00,
Сеп,4.00,
Окт,4.00,
Нов.,4.00,
Дец.,4.00,
Јан.,4.00,
Феб.,4.00,
Март,4.00,
Апр.,4.00,
Мај,4.00,
Јун,4.00,
Јул,4.00,
Авг,4.00,
Сеп,3.75,
Окт,3.50,
Нов.,3.50,
Дец.,3.50,
Јан.,3.50,
Феб.,3.50,
Март,3.25,
Апр.,3.00,
Мај,3.00,
Јун,3.00,
Јул,3.00,
Авг,3.00,
Сеп,3.00,
Окт,3.00,
Нов.,3.00,
Дец.,3.00,
Јан.,3.00,
Феб.,3.00,
Март,3.00,
Апр.,3.00,
Мај,3.00,
Јун,3.00,
Јул,2.75,
Авг,2.50,
Сеп,2.50,
Окт,2.50,
Нов.,2.25,
Дец.,2.25,
