Mesec,Kurs
Окт.,107.4270
Нов.,107.1945
Дец.,105.4982
Јан.,104.6051
Феб.,103.2237
Март,103.5951
Апр.,99.6292
Мај,96.9802
Јун,102.4631
Јул,102.1251
Авг.,101.5836
Септ.,101.1732
Окт.,100.4852
Нов.,103.9741
Дец.,104.6409
Јан.,106.0620
Феб.,110.1866
Март,111.3643
Апр.,111.8981
Мај,116.6121
Јун,115.8203
Јул,117.7306
Авг.,118.4517
Септ.,115.0320
Oкт.,113.2836
Нов.,112.6378
Дец.,113.7183
Јан.,111.6013
Феб.,111.5200
Март,111.9575
Апр.,110.5426
Мај,111.6101
Јун,114.1715
Јул,113.8015
Авг.,114.4255
Септ.,114.6044
Oкт.,114.0082
Нов.,114.0442
Дец.,114.6421
Јан.,115.9236
Феб.,115.9356
Март,115.3845
Апр.,115.6751
Мај,115.6520
Јун,115.7853
Јул,116.7676
Авг.,117.8253
Септ.,118.8509
Oкт.,119.0888
Нов.,120.5468
Дец.,120.9583
Јан.,123.5499
Феб.,120.3281
Март,120.2153
Апр.,120.1498
Мај,120.5636
Јун,120.6042
Јул,120.1505
Авг.,120.2207
Септ.,119.7491
Oкт.,120.7606
Нов.,121.2458
Дец.,121.6261
Јан.,123.2485
Феб.,123.5004
Март,122.9245
Апр.,122.6193
Мај,123.1015
Јун,123.3115
Јул,123.2647
Авг.,123.1972
Септ.,123.2929
Oкт.,123.1620
Нов.,123.1992
Дец.,123.4723
Јан.,123.9595
Феб.,123.9124
Март,123.9679
Апр.,123.1711
Мај,122.6617
Јун,120.8486
Јул,120.4014
Авг.,119.1759
Септ.,119.3659
Oкт.,119.3137
Нов.,119.4149
Дец.,118.4727
Јан.,118.7428
Феб.,118.0579
Март,118.3853
Апр.,118.1748
Мај,118.1610
Јун,118.0676
Јул,118.0603
Авг.,118.2732
Септ.,118.4179
Oкт.,118.3214
Нов.,118.3199
Дец.,118.1946
Јан.,118.4347
Феб.,118.1836
Март,117.9720
Апр.,117.9547
Мај,117.9569
Јун,117.9121
Јул,117.7465
Авг.,117.7785
Септ.,117.5283
Oкт.,117.5257
Нов.,117.5876
Дец.,117.5928
Јан.,117.5797
Феб.,117.5400
Март,117.5042
